place_id,external_id,name,category,subcategory,city,state,country,latitude,longitude,location,description,tags,avg_cost,avg_rating,crowd_level,created_at,updated_at
40,place_40,Water Sports Center,beach,beach,Mumbai,State,India,19.113118,72.889873,POINT(72.889872825535 19.113118245812956),Beautiful beach destination,"['sea', 'tropical']",2427.56,4.86,high,2025-04-07 08:57:57.963556,2026-02-10 08:57:57.963556
41,place_41,Boutique District - Premium,shopping,shopping,Mumbai,State,India,19.117155,72.88596,POINT(72.88595971900604 19.117155248787252),Must-visit shopping attraction,"['markets', 'brands']",580.11,4.07,high,2025-06-01 08:57:57.963556,2026-02-10 08:57:57.963556
42,place_42,Sacred Grounds - New,religious,religious,Mumbai,State,India,19.058624,72.919157,POINT(72.91915693422926 19.05862366331135),Must-visit religious attraction,"['pilgrimage', 'temple', 'spiritual', 'prayers']",416.68,4.55,high,2025-04-13 08:57:57.964512,2026-02-10 08:57:57.964512
43,place_43,Entertainment District - Uptown,nightlife,nightlife,Mumbai,State,India,19.150802,72.886727,POINT(72.88672654209027 19.15080221557446),Beautiful nightlife destination,"['drinks', 'club', 'live']",2845.0,4.53,high,2026-01-12 08:57:57.965508,2026-02-10 08:57:57.965508
44,place_44,Shopping Mall - Downtown,shopping,shopping,Mumbai,State,India,19.202935,72.903898,POINT(72.9038976333554 19.202934555086873),Popular shopping spot in Mumbai,"['brands', 'products', 'markets', 'retail']",104.17,4.02,low,2025-10-05 08:57:57.966506,2026-02-10 08:57:57.966506
45,place_45,Performance Hall,cultural,cultural,Mumbai,State,India,19.074075,72.865413,POINT(72.8654128467957 19.074075413999015),Hidden gem for cultural lovers,"['arts', 'festivals', 'crafts']",706.41,3.51,moderate,2025-09-15 08:57:57.966506,2026-02-10 08:57:57.966506
46,place_46,War Museum,museum,museum,Mumbai,State,India,19.076035,72.885613,POINT(72.88561279904768 19.07603495587786),Must-visit museum attraction,"['artifacts', 'exhibition']",749.03,3.8,low,2025-07-31 08:57:57.967504,2026-02-10 08:57:57.967504
47,place_47,Cultural Museum,museum,museum,Mumbai,State,India,19.1512,72.957286,POINT(72.95728586615941 19.151199649429135),Hidden gem for museum lovers,"['exhibition', 'history', 'artifacts']",436.15,4.4,high,2025-02-26 08:57:57.968502,2026-02-10 08:57:57.968502
48,place_48,Shopping Mall - Central,shopping,shopping,Mumbai,State,India,19.112084,72.821247,POINT(72.82124741143915 19.112083603202162),Best shopping experience in the area,"['products', 'markets', 'retail']",189.5,3.63,low,2025-03-17 08:57:57.968502,2026-02-10 08:57:57.968502
49,place_49,Theme Park,entertainment,entertainment,Mumbai,State,India,19.063144,72.794211,POINT(72.79421104139658 19.06314388643764),Popular entertainment spot in Mumbai,"['performance', 'fun']",1759.38,4.63,moderate,2025-02-20 08:57:57.969499,2026-02-10 08:57:57.969499
50,place_50,Mosque - Downtown,religious,religious,Mumbai,State,India,19.074118,72.932865,POINT(72.93286509410083 19.07411826487876),Must-visit religious attraction,"['pilgrimage', 'spiritual']",280.6,4.05,moderate,2025-03-21 08:57:57.970496,2026-02-10 08:57:57.970496
51,place_51,Green Trail - Downtown,nature,nature,Mumbai,State,India,19.133571,72.898113,POINT(72.89811263778573 19.133571268723237),Best nature experience in the area,"['scenic', 'peaceful', 'forest']",636.89,3.86,very_high,2025-08-21 08:57:57.974486,2026-02-10 08:57:57.974486
52,place_52,Palace,historical,historical,Mumbai,State,India,19.055065,72.950446,POINT(72.95044639041629 19.055064757959677),Must-visit historical attraction,"['monuments', 'architecture', 'old', 'archaeology']",1770.99,4.26,very_low,2025-12-03 08:57:57.975484,2026-02-10 08:57:57.975484
53,place_53,Shopping Mall,shopping,shopping,Mumbai,State,India,19.070084,72.816102,POINT(72.8161020937127 19.07008382886595),Popular shopping spot in Mumbai,"['bargain', 'markets']",409.95,3.93,moderate,2025-04-25 08:57:57.976480,2026-02-10 08:57:57.976480
54,place_54,Zipline Course - Old,adventure,adventure,Mumbai,State,India,19.060611,72.844755,POINT(72.8447550789012 19.06061071916601),Beautiful adventure destination,"['extreme', 'sports', 'outdoor', 'thrilling']",4874.51,3.71,high,2026-01-15 08:57:57.977501,2026-02-10 08:57:57.977501
55,place_55,Night Club,nightlife,nightlife,Mumbai,State,India,19.127432,72.918624,POINT(72.91862423673193 19.127432131515153),Must-visit nightlife attraction,"['bar', 'club', 'drinks']",2942.12,4.64,very_high,2025-05-13 08:57:57.980469,2026-02-10 08:57:57.980469
56,place_56,Boutique District - New,shopping,shopping,Mumbai,State,India,19.087107,72.853763,POINT(72.85376256891684 19.087106688581684),Best shopping experience in the area,"['brands', 'bargain']",585.54,4.7,high,2025-11-06 08:57:57.981558,2026-02-10 08:57:57.981558
57,place_57,Rock Climbing Site - Old,adventure,adventure,Mumbai,State,India,19.129274,72.876486,POINT(72.87648613600541 19.129274018753268),Popular adventure spot in Mumbai,"['sports', 'extreme']",3009.11,4.35,moderate,2025-04-23 08:57:57.982464,2026-02-10 08:57:57.982464
58,place_58,Food Court - Downtown,food,food,Mumbai,State,India,19.063747,72.833542,POINT(72.83354213774518 19.063746519084184),Hidden gem for food lovers,"['taste', 'restaurant', 'cuisine']",1826.3,3.36,moderate,2025-04-06 08:57:57.983461,2026-02-10 08:57:57.983461
59,place_59,Coastal View - Uptown,beach,beach,Mumbai,State,India,19.059421,72.871289,POINT(72.87128942369525 19.059420668786842),Popular beach spot in Mumbai,"['swimming', 'sand']",2036.52,3.62,moderate,2025-09-18 08:57:57.984458,2026-02-10 08:57:57.984458
60,place_60,Boutique District - Premium,shopping,shopping,Mumbai,State,India,19.144914,72.911879,POINT(72.91187928726006 19.144913739316788),Beautiful shopping destination,"['products', 'brands', 'retail']",529.01,3.35,very_low,2026-01-03 08:57:57.984458,2026-02-10 08:57:57.984458
61,place_61,Boutique District - Uptown,shopping,shopping,Mumbai,State,India,19.036085,72.905253,POINT(72.9052533872738 19.036085137773078),Must-visit shopping attraction,"['bargain', 'brands']",695.9,3.56,moderate,2025-11-10 08:57:57.985455,2026-02-10 08:57:57.985455
62,place_62,Monument - Downtown,historical,historical,Mumbai,State,India,19.017555,72.840574,POINT(72.84057428245715 19.017555186712915),Popular historical spot in Mumbai,"['architecture', 'old', 'heritage']",1465.47,3.39,high,2025-04-21 08:57:57.990442,2026-02-10 08:57:57.990442
63,place_63,Green Trail - Downtown,nature,nature,Mumbai,State,India,19.139923,72.828141,POINT(72.82814098451951 19.139922593130365),Hidden gem for nature lovers,"['mountain', 'trek', 'forest', 'scenic']",932.24,4.35,high,2025-06-13 08:57:57.991441,2026-02-10 08:57:57.991441
64,place_64,Church,religious,religious,Mumbai,State,India,19.113595,72.926545,POINT(72.92654495390185 19.113595130901636),Best religious experience in the area,"['prayers', 'spiritual', 'temple', 'pilgrimage']",497.04,3.93,high,2025-12-14 08:57:57.992438,2026-02-10 08:57:57.992438
65,place_65,Entertainment Complex,entertainment,entertainment,Mumbai,State,India,18.974238,72.911615,POINT(72.91161497055961 18.974237987968724),Must-visit entertainment attraction,"['crowds', 'fun', 'performance', 'interactive']",1596.75,4.04,high,2025-06-19 08:57:57.993435,2026-02-10 08:57:57.993435
66,place_66,Commercial Hub - New,shopping,shopping,Mumbai,State,India,19.014637,72.960707,POINT(72.96070684767241 19.014637010953958),Hidden gem for shopping lovers,"['retail', 'markets', 'brands']",128.02,4.4,high,2025-11-23 08:57:57.994433,2026-02-10 08:57:57.994433
67,place_67,Cultural Hub - Central,cultural,cultural,Mumbai,State,India,19.098838,72.845201,POINT(72.84520133940683 19.098837660957688),Must-visit cultural attraction,"['festivals', 'crafts', 'arts', 'tradition']",690.89,3.44,low,2025-07-16 08:57:57.994433,2026-02-10 08:57:57.994433
68,place_68,Night Market,shopping,shopping,Mumbai,State,India,19.053385,72.756506,POINT(72.75650603366856 19.053384684037546),Hidden gem for shopping lovers,"['markets', 'products', 'retail']",801.87,2.94,very_low,2025-11-16 08:57:57.995429,2026-02-10 08:57:57.995429
69,place_69,Meditation Center,wellness,wellness,Mumbai,State,India,19.018082,72.880825,POINT(72.88082513666248 19.018081765540373),Must-visit wellness attraction,"['yoga', 'retreat', 'meditation']",4079.58,4.52,high,2025-07-02 08:57:57.996426,2026-02-10 08:57:57.996426
70,place_70,Restaurant Row - Uptown,food,food,Mumbai,State,India,19.145157,72.94096,POINT(72.9409598625812 19.145157250043614),Popular food spot in Mumbai,"['taste', 'dining', 'cuisine', 'culture']",1396.21,3.01,high,2026-01-29 08:57:57.997423,2026-02-10 08:57:57.997423
71,place_71,Fun Zone,entertainment,entertainment,Mumbai,State,India,19.059983,72.898908,POINT(72.8989082973201 19.059982634590284),Must-visit entertainment attraction,"['interactive', 'performance', 'fun']",2110.73,4.5,high,2025-07-18 08:57:57.997423,2026-02-10 08:57:57.997423
72,place_72,Ancient Temple,historical,historical,Mumbai,State,India,19.052291,72.897661,POINT(72.89766115613027 19.052291284178505),Popular historical spot in Mumbai,"['architecture', 'monuments']",1987.65,4.88,very_low,2025-06-27 08:57:57.998429,2026-02-10 08:57:57.998429
73,place_73,Forest Walk - Premium,nature,nature,Mumbai,State,India,19.031589,72.809548,POINT(72.80954801707244 19.03158946222764),Popular nature spot in Mumbai,"['scenic', 'trek', 'peaceful']",1276.0,4.91,moderate,2025-03-29 08:57:57.999461,2026-02-10 08:57:57.999461
74,place_74,Cultural Museum,museum,museum,Mumbai,State,India,19.134636,72.954813,POINT(72.95481279730242 19.13463645096297),Must-visit museum attraction,"['exhibition', 'artifacts']",499.52,4.36,high,2025-10-15 08:57:57.999461,2026-02-10 08:57:57.999461
75,place_75,Night Market,nightlife,nightlife,Mumbai,State,India,19.063037,72.939384,POINT(72.9393843460688 19.06303747787099),Beautiful nightlife destination,"['club', 'live']",1335.24,4.78,very_low,2025-10-25 08:57:58.000416,2026-02-10 08:57:58.000416
76,place_76,Arts District,cultural,cultural,Mumbai,State,India,19.06794,72.815833,POINT(72.81583291772765 19.067939576571508),Beautiful cultural destination,"['crafts', 'festivals', 'music']",635.93,3.28,high,2025-08-10 08:57:58.000416,2026-02-10 08:57:58.001412
77,place_77,Art Gallery,cultural,cultural,Mumbai,State,India,19.022722,72.88229,POINT(72.88229028872904 19.02272181375675),Popular cultural spot in Mumbai,"['festivals', 'tradition', 'arts']",811.58,4.06,low,2025-10-19 08:57:58.001412,2026-02-10 08:57:58.001412
78,place_78,Nature Reserve - Downtown,nature,nature,Mumbai,State,India,19.085829,72.932976,POINT(72.93297629664791 19.08582910367439),Best nature experience in the area,"['forest', 'trek', 'mountain']",606.59,4.74,high,2025-11-25 08:57:58.002409,2026-02-10 08:57:58.002409
79,place_79,Culinary Street - New,food,food,Mumbai,State,India,19.121074,72.870757,POINT(72.87075687064026 19.12107373149739),Best food experience in the area,"['restaurant', 'culture']",945.3,3.51,moderate,2025-07-01 08:57:58.002409,2026-02-10 08:57:58.003409
80,place_80,Monument,historical,historical,Mumbai,State,India,19.131599,72.886185,POINT(72.88618468961761 19.13159938569053),Beautiful historical destination,"['heritage', 'monuments', 'architecture']",1863.33,4.32,moderate,2025-04-12 08:57:58.003409,2026-02-10 08:57:58.003409
81,place_81,Beach Club,beach,beach,Delhi,State,India,28.755222,76.993214,POINT(76.99321447587624 28.75522204761969),Must-visit beach attraction,"['tropical', 'sea']",1861.72,3.79,high,2025-05-11 08:57:58.004424,2026-02-10 08:57:58.004424
82,place_82,Mountain Peak,nature,nature,Delhi,State,India,28.633624,77.058971,POINT(77.05897136918692 28.63362443412634),Must-visit nature attraction,"['trek', 'scenic']",1110.33,3.67,high,2025-10-25 08:57:58.005546,2026-02-10 08:57:58.005546
83,place_83,Night Market,nightlife,nightlife,Delhi,State,India,28.751547,77.069394,POINT(77.06939437415879 28.75154699949188),Beautiful nightlife destination,"['live', 'late']",2053.0,3.96,very_low,2025-08-24 08:57:58.006401,2026-02-10 08:57:58.006401
84,place_84,Shopping Mall,shopping,shopping,Delhi,State,India,28.650029,77.06658,POINT(77.06657963672154 28.65002901856273),Hidden gem for shopping lovers,"['markets', 'bargain', 'retail']",661.47,3.32,moderate,2025-10-14 08:57:58.006401,2026-02-10 08:57:58.006401
85,place_85,Beach Resort,beach,beach,Delhi,State,India,28.65093,77.065498,POINT(77.06549765410887 28.650929917724106),Best beach experience in the area,"['sand', 'swimming', 'water', 'sea']",1116.91,4.72,very_low,2025-08-27 08:57:58.007399,2026-02-10 08:57:58.007399
86,place_86,Holy Place - Old,religious,religious,Delhi,State,India,28.78552,77.073416,POINT(77.07341595430258 28.785519831156428),Popular religious spot in Delhi,"['temple', 'sacred', 'spiritual', 'pilgrimage']",220.28,4.18,high,2025-04-16 08:57:58.008420,2026-02-10 08:57:58.008420
87,place_87,Live Music Venue,nightlife,nightlife,Delhi,State,India,28.696924,77.076067,POINT(77.07606689983315 28.69692438278223),Beautiful nightlife destination,"['drinks', 'late', 'club', 'live']",2923.33,3.89,moderate,2026-01-11 08:57:58.008420,2026-02-10 08:57:58.008420
88,place_88,Fun Zone - Premium,entertainment,entertainment,Delhi,State,India,28.723281,77.163155,POINT(77.16315488499896 28.723280598539397),Hidden gem for entertainment lovers,"['performance', 'crowds', 'fun']",1255.43,4.51,high,2025-10-19 08:57:58.009391,2026-02-10 08:57:58.009391
89,place_89,Nature Reserve,nature,nature,Delhi,State,India,28.708459,77.137904,POINT(77.13790445609284 28.708459320210324),Beautiful nature destination,"['peaceful', 'trek', 'forest', 'scenic']",1015.68,4.71,very_high,2025-07-09 08:57:58.010387,2026-02-10 08:57:58.010387
90,place_90,Entertainment District - Central,nightlife,nightlife,Delhi,State,India,28.762415,77.069095,POINT(77.06909547731786 28.762415137361838),Beautiful nightlife destination,"['late', 'live', 'drinks']",1692.2,4.75,very_high,2025-05-16 08:57:58.010387,2026-02-10 08:57:58.010387
91,place_91,Taj Mahal View - Premium,historical,historical,Delhi,State,India,28.704618,77.036908,POINT(77.0369081883825 28.704617630992168),Hidden gem for historical lovers,"['monuments', 'heritage']",1025.81,3.98,very_low,2025-02-26 08:57:58.011704,2026-02-10 08:57:58.011704
92,place_92,Cultural Hub - Central,cultural,cultural,Delhi,State,India,28.664436,77.159699,POINT(77.15969939596012 28.664435905308316),Beautiful cultural destination,"['arts', 'festivals', 'music', 'tradition']",733.65,3.4,low,2025-05-23 08:57:58.012387,2026-02-10 08:57:58.012387
93,place_93,Spa & Wellness - Downtown,wellness,wellness,Delhi,State,India,28.667462,77.067416,POINT(77.0674164044988 28.6674623185155),Best wellness experience in the area,"['spa', 'yoga']",4376.28,4.66,moderate,2025-06-25 08:57:58.012387,2026-02-10 08:57:58.012387
94,place_94,Sandy Shore - New,beach,beach,Delhi,State,India,28.651776,77.052795,POINT(77.0527946883479 28.65177610286878),Best beach experience in the area,"['tropical', 'sea', 'swimming']",1976.48,3.35,low,2026-01-20 08:57:58.013381,2026-02-10 08:57:58.013381
95,place_95,Night Market,nightlife,nightlife,Delhi,State,India,28.718672,77.065966,POINT(77.06596590180982 28.71867249616059),Beautiful nightlife destination,"['bar', 'drinks', 'live', 'late']",2562.34,4.27,high,2025-12-03 08:57:58.014383,2026-02-10 08:57:58.014383
96,place_96,Spa & Wellness,wellness,wellness,Delhi,State,India,28.666429,77.142153,POINT(77.14215281903287 28.666429106482692),Popular wellness spot in Delhi,"['yoga', 'spa', 'retreat', 'health']",4974.77,4.96,very_high,2025-02-25 08:57:58.015377,2026-02-10 08:57:58.015377
97,place_97,History Museum,museum,museum,Delhi,State,India,28.753902,77.06466,POINT(77.06466024557153 28.753902384290292),Popular museum spot in Delhi,"['history', 'education']",607.51,2.48,high,2025-05-28 08:57:58.016373,2026-02-10 08:57:58.016373
98,place_98,Heritage Museum - Old,museum,museum,Delhi,State,India,28.650749,77.113998,POINT(77.11399772239211 28.650749170679106),Beautiful museum destination,"['art', 'exhibition']",381.84,3.2,low,2025-10-11 08:57:58.016373,2026-02-10 08:57:58.016373
99,place_99,Theme Park,entertainment,entertainment,Delhi,State,India,28.810547,77.136934,POINT(77.13693390118428 28.81054732778728),Popular entertainment spot in Delhi,"['performance', 'interactive']",1640.12,3.25,high,2025-11-07 08:57:58.017371,2026-02-10 08:57:58.017371
100,place_100,Paragliding Point - Central,adventure,adventure,Delhi,State,India,28.732996,77.142672,POINT(77.14267229061828 28.732995525689574),Beautiful adventure destination,"['extreme', 'outdoor', 'adrenaline']",3301.4,4.22,low,2025-07-01 08:57:58.018366,2026-02-10 08:57:58.018366
101,place_101,Bar & Lounge,nightlife,nightlife,Delhi,State,India,28.787595,77.122234,POINT(77.12223357649115 28.787595225217572),Beautiful nightlife destination,"['live', 'late', 'bar']",2108.45,3.38,very_low,2025-06-12 08:57:58.018366,2026-02-10 08:57:58.018366
102,place_102,Entertainment Hub - New,entertainment,entertainment,Delhi,State,India,28.648785,77.08812,POINT(77.0881204490275 28.648784590938583),Hidden gem for entertainment lovers,"['fun', 'performance', 'show', 'interactive']",2326.08,4.25,very_low,2026-01-21 08:57:58.019365,2026-02-10 08:57:58.019365
103,place_103,Ancient Temple - New,historical,historical,Delhi,State,India,28.675888,77.111728,POINT(77.11172756515985 28.67588762006713),Must-visit historical attraction,"['monuments', 'old', 'heritage', 'architecture']",1676.47,3.43,high,2025-10-16 08:57:58.020365,2026-02-10 08:57:58.020365
